center_mb	gc_percent	unique_tss	wolf_snp_count	dog_snp_count	campbell_pedigree	wolf_ld	dog_ld
94.450224	38.369037109375	0	1110.0	884.0	1.2807590714147833e-09	1.26165002839429e-08	5.262830808043795e-09
94.550224	39.824033203125	0	1126.0	912.0	1.2807590714147833e-09	1.652873512409503e-08	1.4430065242110324e-08
94.650224	41.28977734375	0	1206.0	1026.0	1.2807590714147833e-09	1.882539735878708e-08	1.1226739415303167e-08
94.750224	40.96975692955348	2	1337.0	1173.0	1.280759071413673e-09	1.981726779210935e-08	1.3601435588843635e-08
94.850224	44.38013565065753	5	1363.0	975.0	2.6159760822421773e-08	1.4741825585028456e-08	1.3032630869175276e-08
94.950224	40.21275388843358	8	1187.0	890.0	1.2803697384233814e-09	6.5389922830150214e-09	5.619756774307705e-09
95.050224	42.88422662116708	0	1092.0	786.0	1.2803697384222711e-09	7.297267771001481e-09	6.674138453054423e-09
95.150224	50.98784765625	0	1319.0	1035.0	1.2803697384222711e-09	1.7402599702222022e-08	1.5711423088743404e-08
95.250224	50.4466953125	2	1503.0	1076.0	1.2803697384222711e-09	2.3465158321500645e-08	1.2205710490168497e-08
95.350224	43.97441639937684	0	1200.0	791.0	1.2803697384233814e-09	2.1087709647390484e-08	8.021021924154992e-09
95.450224	43.80367072798796	0	985.0	702.0	1.4619953381398431e-08	1.543691111755896e-08	9.513220691730328e-09
95.550224	40.463415020724995	5	879.0	575.0	2.1734596794097394e-08	1.1180670548011085e-08	2.9293000099606114e-09
95.650224	40.49034375	0	644.0	405.0	7.035839596472027e-09	1.3468280350104055e-09	1.1868337674292295e-09
95.750224	49.3119921875	0	1593.0	1107.0	2.1550087298582987e-08	2.0536578006786764e-08	2.2912123091302085e-08
95.850224	50.49821875	0	1951.0	1069.0	1.611763007584033e-08	1.6707711507849556e-08	1.421008690554948e-08
95.950224	49.14318662835744	2	1556.0	1107.0	1.3290566632661038e-08	1.861512714545821e-08	7.582025133586745e-09
96.050224	45.36330243496192	4	1599.0	1074.0	1.3462859781868675e-08	2.1416743452234987e-08	5.3608246138237005e-09
96.150224	42.90030078125	2	1775.0	1081.0	1.7866604093997873e-08	1.2051591216561964e-08	3.1182034752730293e-09
96.250224	42.30322144844667	0	1412.0	810.0	3.089435756052583e-08	1.1086715532412362e-08	2.418204493886966e-09
96.350224	43.195578125	0	1745.0	1250.0	1.0575376657495639e-10	1.2412719086590807e-08	4.139520784959272e-09
